country_1,country_2,country_3,country_4,collaboration_emissions,collaboration_cost,autarky_emissions,autarky_cost
ID,,,,0,0,0,0
ID,,,,282.8875955,0,282.8875955,0
ID,,,,565.7751909,0,565.7751909,0
ID,,,,848.6627864,507.2183565,848.6627864,507.2183565
ID,,,,1131.550382,480.4958423,1131.550382,480.4958423
ID,,,,1414.437977,464.2056416,1414.437977,464.2056416
ID,,,,1697.325573,452.4894371,1697.325573,452.4894371
ID,,,,1980.213168,447.4315022,1980.213168,447.4315022
ID,,,,2263.100764,440.1775396,2263.100764,440.1775396
ID,,,,2545.988359,429.5905681,2545.988359,429.5905681
ID,,,,2828.875955,427.2065996,2828.875955,427.2065996
ID,SG,MY,,0,851.0925453,10,1276.638818
ID,SG,MY,,141.2503384,821.9467834,165.3753722,1232.920175
ID,SG,MY,,282.5006768,800.0832253,320.7507445,1200.124838
ID,SG,MY,,423.7510152,781.0994971,476.1261167,1171.649246
ID,SG,MY,,565.0013536,768.1540617,631.501489,1152.231092
ID,SG,MY,,706.251692,757.1500723,786.8768612,1135.725108
ID,SG,MY,,847.5020304,746.6204877,942.2522334,1119.930732
ID,SG,MY,,988.7523688,736.7522227,1097.627606,1105.128334
ID,SG,MY,,1130.002707,727.8626173,1253.002978,1091.793926
ID,SG,MY,,1271.253046,721.4440552,1408.378351,1082.166083
ID,SG,MY,,1412.503384,719.3260035,1563.753722,1078.989005
MY,,,,0,0,0,0
MY,,,,282.8875955,0,282.8875955,0
MY,,,,565.7751909,0,565.7751909,0
MY,,,,848.6627864,327.1393144,848.6627864,327.1393144
MY,,,,1131.550382,326.1886501,1131.550382,326.1886501
MY,,,,1414.437977,316.4560012,1414.437977,316.4560012
MY,,,,1697.325573,303.7661949,1697.325573,303.7661949
MY,,,,1980.213168,286.2414084,1980.213168,286.2414084
MY,,,,2263.100764,274.2578093,2263.100764,274.2578093
MY,,,,2545.988359,270.1048023,2545.988359,270.1048023
MY,,,,2828.875955,265.9081501,2828.875955,265.9081501
SG,,,,0,0,0,0
SG,,,,282.8875955,0,282.8875955,0
SG,,,,565.7751909,0,565.7751909,0
SG,,,,848.6627864,121.115224,848.6627864,121.115224
SG,,,,1131.550382,121.1124788,1131.550382,121.1124788
SG,,,,1414.437977,121.1124788,1414.437977,121.1124788
SG,,,,1697.325573,121.1124788,1697.325573,121.1124788
SG,,,,1980.213168,121.1124788,1980.213168,121.1124788
SG,,,,2263.100764,121.1124788,2263.100764,121.1124788
SG,,,,2545.988359,121.1124786,2545.988359,121.1124786
SG,,,,2828.875955,121.1124788,2828.875955,121.1124788